ProductID,Category,Sub-Category,ProductName,ProductID_Key
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",3
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,4
FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",5
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",6
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,7
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",8
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,9
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",10
OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",11
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,12
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",13
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,14
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",15
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,16
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,17
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",18
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",19
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",20
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,21
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,22
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,23
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",24
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",25
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,26
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,27
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,28
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",29
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",30
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",31
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,32
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,33
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,34
OFF-FA-10002780,Office Supplies,Fasteners,Staples,35
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,36
OFF-LA-10003148,Office Supplies,Labels,Avery 51,37
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",38
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",39
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,40
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",41
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",42
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,43
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,44
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",45
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,46
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,47
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,48
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",49
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,50
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,51
OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",52
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53
TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,54
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,55
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,56
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,57
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,58
OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",59
OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,60
TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,61
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,62
TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,63
OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",64
FUR-CH-10003312,Furniture,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,65
OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,66
OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,67
TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,68
OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,69
OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,70
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,71
TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,72
OFF-AR-10000658,Office Supplies,Art,Newell 324,73
TEC-AC-10002076,Technology,Accessories,Microsoft Natural Keyboard Elite,74
OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,75
FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",76
FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",77
TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,78
TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,79
TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,80
OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,81
OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,82
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,83
OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,84
OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,85
TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,86
FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",87
FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,88
OFF-EN-10001415,Office Supplies,Envelopes,Staple envelope,89
FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,90
OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,91
FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,92
OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,93
OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,94
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,95
OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,96
OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",97
TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,98
TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,99
OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,100
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,101
OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",102
FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,103
OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",104
OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,105
TEC-PH-10003800,Technology,Phones,i.Sound Portable Power - 8000 mAh,106
OFF-PA-10002005,Office Supplies,Paper,Xerox 225,107
OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,108
OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,109
TEC-PH-10001425,Technology,Phones,Mophie Juice Pack Helium for iPhone,110
TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,111
OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,112
OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,113
OFF-AR-10001246,Office Supplies,Art,Newell 317,114
TEC-PH-10003092,Technology,Phones,Motorola L804,115
OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",116
OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,117
TEC-AC-10001267,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,118
TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,119
OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,120
OFF-AP-10003287,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,121
OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,122
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,123
